order_id,exception_type,amount_at_risk,policy_decision,explanation,recommendation
968daeb20a9a0e6c8433cad2c886756a,SETTLEMENT_ANOMALY,21.34,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹21.34. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
8048f4c2213c7ef433ffc4c00e017c14,WEBHOOK_FAILURE,26.35,AUTO_APPROVE,"The payment appears successful, but the expected webhook was not delivered. The affected transaction value is ₹26.35. This may leave the merchant system out of sync with the payment system.",Verify webhook delivery and reconcile the merchant transaction state.
55e62ea5906d028721528c19cdd49bb0,WEBHOOK_FAILURE,24.28,AUTO_APPROVE,"The payment appears successful, but the expected webhook was not delivered. The affected transaction value is ₹24.28. This may leave the merchant system out of sync with the payment system.",Verify webhook delivery and reconcile the merchant transaction state.
73840bb583b69b1d181d54f3f755a4e2,REFUND_ORDER_MISMATCH,203.08,HUMAN_REVIEW,The merchant order indicates a cancellation while the expected refund of ₹203.08 has not completed. This may create an outstanding customer liability.,Verify refund processing status and investigate the outstanding refund.
1fab4ac9d85079b3da72a11475ae1685,REFUND_ORDER_MISMATCH,243.01,HUMAN_REVIEW,The merchant order indicates a cancellation while the expected refund of ₹243.01 has not completed. This may create an outstanding customer liability.,Verify refund processing status and investigate the outstanding refund.
c00ec2c5d2f145b694e4f478c71c5711,PAYMENT_ORDER_MISMATCH,704.32,HUMAN_REVIEW,"The payment of ₹704.32 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
f5218a2401f92542f87b1de5bc3f92ff,SETTLEMENT_ANOMALY,16.66,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹16.66. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
fa4c59a94711decb9c0410a0e7f878bc,PAYMENT_ORDER_MISMATCH,32.67,HUMAN_REVIEW,"The payment of ₹32.67 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
cd7d5eba4ca59e359249279469aa4f7a,PAYMENT_ORDER_MISMATCH,165.21,HUMAN_REVIEW,"The payment of ₹165.21 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
94a4d00bea6790d3c810c6b2f56b4d65,WEBHOOK_FAILURE,134.19,AUTO_APPROVE,"The payment appears successful, but the expected webhook was not delivered. The affected transaction value is ₹134.19. This may leave the merchant system out of sync with the payment system.",Verify webhook delivery and reconcile the merchant transaction state.
0945dadba69dad599e42c31e78450de4,WEBHOOK_FAILURE,1260.76,AUTO_APPROVE,"The payment appears successful, but the expected webhook was not delivered. The affected transaction value is ₹1260.76. This may leave the merchant system out of sync with the payment system.",Verify webhook delivery and reconcile the merchant transaction state.
0901f97cdb91762c043d2330c81919a4,REFUND_ORDER_MISMATCH,410.61,HUMAN_REVIEW,The merchant order indicates a cancellation while the expected refund of ₹410.61 has not completed. This may create an outstanding customer liability.,Verify refund processing status and investigate the outstanding refund.
9c3585240de3978338d7aa8c74ddfaa1,PAYMENT_ORDER_MISMATCH,347.06,HUMAN_REVIEW,"The payment of ₹347.06 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
37f4b362697f5c9826aee9c479b32bda,PAYMENT_ORDER_MISMATCH,73.77,HUMAN_REVIEW,"The payment of ₹73.77 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
12958a97a4e26a4e7dd8bce7de8955b9,SETTLEMENT_ANOMALY,16.23,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹16.23. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
6653d3fc131c01e7e7fa96daf4aea451,PAYMENT_ORDER_MISMATCH,185.94,HUMAN_REVIEW,"The payment of ₹185.94 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
77f8ac5734b5b2f8c1572102f854d329,REFUND_ORDER_MISMATCH,134.27,HUMAN_REVIEW,The merchant order indicates a cancellation while the expected refund of ₹134.27 has not completed. This may create an outstanding customer liability.,Verify refund processing status and investigate the outstanding refund.
b41f51ebf23530b00f69e5602f81a653,SETTLEMENT_ANOMALY,58.5,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹58.50. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
b2b345cd2633deaf2b69c3b5c5585afa,REFUND_ORDER_MISMATCH,61.29,HUMAN_REVIEW,The merchant order indicates a cancellation while the expected refund of ₹61.29 has not completed. This may create an outstanding customer liability.,Verify refund processing status and investigate the outstanding refund.
ff7f5fd520c590ecb28347614bf26ae2,SETTLEMENT_ANOMALY,51.97,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹51.97. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
2efe2442effe17b5a17637c88ac2d0d8,SETTLEMENT_ANOMALY,76.77,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹76.77. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
7d4101163410b1380268da3933e691f1,SETTLEMENT_ANOMALY,64.18,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹64.18. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
d2b78e9e69a191c9f98ea4fec8e920ef,PAYMENT_ORDER_MISMATCH,45.86,HUMAN_REVIEW,"The payment of ₹45.86 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
1e24c66f40e16d38609ed026af8b4c94,SETTLEMENT_ANOMALY,27.95,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹27.95. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
393e5ad5d9b558b7a0fd2cfc53f7f1d9,SETTLEMENT_ANOMALY,65.05,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹65.05. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
0b0bf8f9977e22517521efeefa4b7a27,PAYMENT_ORDER_MISMATCH,167.51,HUMAN_REVIEW,"The payment of ₹167.51 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
31a8fcbeaa65f2a7dec1abee188ffcc9,SETTLEMENT_ANOMALY,56.62,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹56.62. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
4ee4b8462b9a39ac1fa86e28bcc22ad3,WEBHOOK_FAILURE,71.61,AUTO_APPROVE,"The payment appears successful, but the expected webhook was not delivered. The affected transaction value is ₹71.61. This may leave the merchant system out of sync with the payment system.",Verify webhook delivery and reconcile the merchant transaction state.
ad01d61ec53a43d200f359c11347316f,PAYMENT_ORDER_MISMATCH,40.21,HUMAN_REVIEW,"The payment of ₹40.21 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
36b036769c93a2e59324ac996fb51e2b,PAYMENT_ORDER_MISMATCH,54.49,HUMAN_REVIEW,"The payment of ₹54.49 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
fe00e26eb05c951aad5cbc6b7f602edb,REFUND_ORDER_MISMATCH,138.28,HUMAN_REVIEW,The merchant order indicates a cancellation while the expected refund of ₹138.28 has not completed. This may create an outstanding customer liability.,Verify refund processing status and investigate the outstanding refund.
67642a6b87ab5c8cdfffd5b81da8a501,PAYMENT_ORDER_MISMATCH,115.45,HUMAN_REVIEW,"The payment of ₹115.45 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
e28f56dc0353b7bf8f78f05ac639ba21,SETTLEMENT_ANOMALY,20.83,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹20.83. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
a92a63c8deffa6b4843c8e30e10abbfc,REFUND_ORDER_MISMATCH,186.62,HUMAN_REVIEW,The merchant order indicates a cancellation while the expected refund of ₹186.62 has not completed. This may create an outstanding customer liability.,Verify refund processing status and investigate the outstanding refund.
78d197a2bfdde2a4c64cf3e58ab2b7a3,PAYMENT_ORDER_MISMATCH,125.8,HUMAN_REVIEW,"The payment of ₹125.80 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
db84f5852687abdb7f384d5ea4b638c9,PAYMENT_ORDER_MISMATCH,179.56,HUMAN_REVIEW,"The payment of ₹179.56 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
c88935c0144ef18368420018e18f177a,REFUND_ORDER_MISMATCH,48.11,HUMAN_REVIEW,The merchant order indicates a cancellation while the expected refund of ₹48.11 has not completed. This may create an outstanding customer liability.,Verify refund processing status and investigate the outstanding refund.
770d331c84e5b214bd9dc70a10b829d0,SETTLEMENT_ANOMALY,79.18,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹79.18. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
a7b3d17383515918f57cc831f29bc8dd,SETTLEMENT_ANOMALY,13.45,HUMAN_REVIEW,"The captured payment amount differs from the settlement amount, creating an apparent exposure of ₹13.45. The difference may be explained by refunds, fees, adjustments or settlement timing.","Reconcile the settlement against payment, refund, fee and adjustment records."
5f5d82c66499b9a72f7e8071477aee00,PAYMENT_ORDER_MISMATCH,21.77,HUMAN_REVIEW,"The payment of ₹21.77 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
