order_id,exception_type,severity,amount_affected,reason,overall_state,financial_exposure,amount_at_risk,evidence,likely_cause,recommended_action,decision,explanation,recommendation
3d205e6a3bde8bd5a480aba4d26dd315,SETTLEMENT_ANOMALY,HIGH,12.803999999999998,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,12.8,,,,,,,
f5bb23a6bf7d9bd0d8b8d4575dd82b58,SETTLEMENT_ANOMALY,HIGH,19.164,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,19.16,,,,,,,
0bcc4cc85c24f23e22013fd22f99728f,SETTLEMENT_ANOMALY,HIGH,58.5,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,58.5,195.0,Payment/order state mismatch; amount affected=₹195.00,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.,HUMAN_REVIEW,"The payment of ₹195.00 appears to have been captured successfully, but the merchant's internal order state remains unpaid. This suggests that the merchant-side order update may not have completed.",Verify the payment against the merchant order before requesting another payment.
6d710101fb9f067dd5385ea1b6021946,SETTLEMENT_ANOMALY,HIGH,6.834000000000001,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,6.83,,,,,,,
bcf9b1ea597cf15ce7c93eebfd3a915a,SETTLEMENT_ANOMALY,HIGH,11.127000000000002,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,11.13,,,,,,,
3099fa1da8ddf6f98c8a917af87540c5,SETTLEMENT_ANOMALY,HIGH,10.134,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,10.13,,,,,,,
4dae49f3bd8b5abe8d252762a1c88a1f,SETTLEMENT_ANOMALY,HIGH,17.634,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,17.63,,,,,,,
4f4aeb2e42b27f98c78a2adb81030b3b,SETTLEMENT_ANOMALY,HIGH,9.831000000000005,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,9.83,,,,,,,
dab96f487f4979e8da25ec94ecc1f33a,SETTLEMENT_ANOMALY,HIGH,25.538999999999994,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,25.54,,,,,,,
470dea50dbd9c5e77735b49bd904af6d,SETTLEMENT_ANOMALY,HIGH,44.79599999999999,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,44.8,,,,,,,
af70a5f50d99c3d85f9cc17bf5a854f3,REFUND_ORDER_MISMATCH,MEDIUM,132.96,Merchant order is cancelled but customer refund is still pending,REFUND_PENDING,132.96,,,,,,,
0c56c2d802da452669d191dfd438ac4c,REFUND_ORDER_MISMATCH,MEDIUM,97.76,Merchant order is cancelled but customer refund is still pending,REFUND_PENDING,97.76,,,,,,,
945dd5fdb173f89e1e87a833291b468e,REFUND_ORDER_MISMATCH,MEDIUM,28.75,Merchant order is cancelled but customer refund is still pending,REFUND_PENDING,28.75,,,,,,,
613d338b0c2fb3b1dd0a73d6f3bfbdcc,REFUND_ORDER_MISMATCH,MEDIUM,68.7,Merchant order is cancelled but customer refund is still pending,REFUND_PENDING,68.7,,,,,,,
b001d1893d61b0d3b035e0a05253eb43,REFUND_ORDER_MISMATCH,MEDIUM,140.89,Merchant order is cancelled but customer refund is still pending,REFUND_PENDING,140.89,,,,,,,
76b8258d41352cf46d8f0a57404d9c03,REFUND_ORDER_MISMATCH,MEDIUM,187.59,Merchant order is cancelled but customer refund is still pending,REFUND_PENDING,187.59,,,,,,,
0d8b3fb610ae4ac24891052ed60e8a2a,REFUND_ORDER_MISMATCH,MEDIUM,107.8,Merchant order is cancelled but customer refund is still pending,REFUND_PENDING,107.8,,,,,,,
1aa3c5dc3d9668e8fa8a0af87a8dbe55,REFUND_ORDER_MISMATCH,MEDIUM,72.14,Merchant order is cancelled but customer refund is still pending,REFUND_PENDING,72.14,,,,,,,
0fa61e1ac47c12200902e1f9d6b0e6ad,REFUND_ORDER_MISMATCH,MEDIUM,127.4,Merchant order is cancelled but customer refund is still pending,REFUND_PENDING,127.4,,,,,,,
e5c543adb388da035a48a7b7fd057f5a,REFUND_ORDER_MISMATCH,MEDIUM,130.1,Merchant order is cancelled but customer refund is still pending,REFUND_PENDING,130.1,,,,,,,
fed39ea4db65131e475d2f1ed267cf1e,WEBHOOK_FAILURE,MEDIUM,112.33,Webhook delivery failed for the transaction,WEBHOOK_EXCEPTION,112.33,,,,,,,
6054edadd122478439d42520ff966ebb,WEBHOOK_FAILURE,MEDIUM,181.15,Webhook delivery failed for the transaction,WEBHOOK_EXCEPTION,181.15,,,,,,,
c55c2cba4bd6069c80c2531fe9a9188a,WEBHOOK_FAILURE,MEDIUM,159.69,Webhook delivery failed for the transaction,WEBHOOK_EXCEPTION,159.69,,,,,,,
b1498d9178bbadef1684ec3c4413cd31,WEBHOOK_FAILURE,MEDIUM,69.52,Webhook delivery failed for the transaction,WEBHOOK_EXCEPTION,69.52,,,,,,,
b779a5a05a7f2a1955da9631df2a275d,WEBHOOK_FAILURE,MEDIUM,82.83,Webhook delivery failed for the transaction,WEBHOOK_EXCEPTION,82.83,,,,,,,
